id,exp,sol
BFR38,4,0
BFR40,0,3
BFR41,3,2
BFR42,0,0
BFR43,5,5
BFR44,5,2
BFR45,3,4
BFR46,0,0
BFR47,0,0
BFR48,4,2
BFR49,0,0
BFR51,4,2
BFR53,0,0
BFR54,0,0
BFR56,0,0
BFR57,5,5
BFR58,4,0
BFR59,0,0
BFR5,2,0
BFR60,5,4
BFR61,0,0
BFR62,3,3
BFR6,5,3
BFR83,3,0
BFR84,4,2
BFR93,4,0
BFR96,0,0
BFR99,3,0
BFR9,0,0
BHR101,4,5
BHR102,5,1
BHR103,1,0
BHR104,3,3
BHR105,5,1
BHR10,3,1
BHR115,5,3
BHR117,5,1
BHR119,1,1
BHR122,5,5
BHR123,5,1
BHR124,1,3
BHR125,5,5
BHR126,4,5
BHR127,4,1
BHR128,5,5
BHR129,5,2
BHR12,4,4
BHR130,5,4
BHR131,4,5
BHR132,5,5
BHR134,5,4
BHR135,4,5
BHR136,4,5
BHR137,4,2
BHR138,5,2
BHR139,5,5
BHR13,3,5
BHR140,5,1
BHR141,5,5
BHR145,5,4
BHR148,0,0
BHR149,0,0
BHR151,5,5
BHR152,5,5
BHR153,0,0
BHR154,4,5
BHR162,5,5
BHR163,5,5
BHR164,0,0
BHR165,5,0
BHR166,5,4
BHR167,5,5
BHR168A,5,0
BHR168B,5,1
BHR168,5,4
BHR169A,5,5
BHR169B,5,2
BHR169C,0,0
BHR169D,5,0
BHR169,5,5
BHR16,2,3
BHR170A,5,5
BHR170B,5,2
BHR170C,0,0
BHR170,3,0
BHR171A,3,0
BHR171B,5,1
BHR171C,5,0
BHR171D,5,1
BHR171E,5,1
BHR171F,5,0
BHR172A,4,0
BHR172,5,0
BHR173A,1,1
BHR173B,3,0
BHR173,4,2
BHR174A,5,1
BHR174B,5,1
BHR174,5,5
BHR175A,5,1
BHR175B,4,3
BHR175,2,4
BHR176,5,1
BHR177,5,0
BHR178,5,1
BHR17,3,5
BHR181,4,2
BHR182,4,5
BHR186,5,5
BHR192A,2,3
BHR192B,4,0
BHR192,4,4
BHR197A,5,5
BHR198,5,5
BHR199,5,4
BHR1,3,5
BHR207,5,2
BHR20,3,0
BHR216A,0,0
BHR216B,0,0
BHR216C,0,0
BHR216D,0,0
BHR216E,2,0
BHR216F,2,0
BHR218A,5,0
BHR218,5,4
BHR21,5,5
BHR221A,5,0
BHR221B,5,0
BHR22,0,0
BHR23,3,5
BHR24,3,5
BHR25,5,5
BHR26,2,5
BHR27A,0,0
BHR28,5,5
BHR29,5,5
BHR2,2,5
BHR30,3,5
BHR31,5,5
BHR32,2,1
BHR33,3,5
BHR34,3,0
BHR35,0,0
BHR36,3,0
BHR37,3,5
BHR38,5,0
BHR39,0,0
BHR3,2,2
BHR40,3,5
BHR41,3,5
BHR44,3,5
BHR45,5,3
BHR46,3,0
BHR47,0,0
BHR48,3,5
BHR49,3,0
BHR4,5,0
BHR50,3,5
BHR51,5,5
BHR52,3,5
BHR53,3,5
BHR55,3,0
BHR56,2,4
BHR57,5,0
BHR58,5,2
BHR5,5,0
BHR60,3,5
BHR61,5,5
BHR62,0,0
BHR63,3,5
BHR6,3,4
BHR88,3,3
BHR89,3,0
BHR8,3,5
BHR90,0,0
BHR91,5,0
BHR92,4,2
BHR94,4,3
BHR95,5,3
BHR97,4,3
BHR98,0,0
BHR99,5,5
BHR9,5,5
BJR101,5,1
BJR103,0,0
BJR106,5,1
BJR108,0,0
BJR109,2,5
BJR110,3,5
BJR112,5,3
BJR114,5,0
BJR116,0,0
BJR119,3,5
BJR121,0,0
BJR123,0,0
BJR124,0,0
BJR126,3,5
BJR127,5,3
BJR128,5,5
BJR131,5,3
BJR133,2,5
BJR134,2,5
BJR135,4,0
BJR138,2,5
BJR139,5,0
BJR140,0,0
BJR141,5,1
BJR144,2,5
BJR145,0,0
BJR146,5,3
BJR148,2,5
BJR149,3,5
BJR14,5,2
BJR150,4,4
BJR153,5,4
BJR154,0,0
BJR155,3,0
BJR156,5,5
BJR158,4,2
BJR159,2,5
BJR162,2,5
BJR163,3,3
BJR164,0,0
BJR168,5,5
BJR169,4,4
BJR16,0,0
BJR19,4,2
BJR23,4,4
BJR24,3,2
BJR27,4,4
BJR2,5,3
BJR32,4,4
BJR33,0,0
BJR38,4,4
BJR43,3,5
BJR53,0,0
BJR71,5,5
BJR73,1,1
BJR74,0,0
BJR90,0,0
BJR91,0,0
BJR92,0,0
BJR94,5,2
BJR95,0,0
BJR96,5,2
BJR97,5,3
BJR98,5,5
BLR10,5,5
BLR13,5,5
BLR15,5,5
BLR16,5,5
BLR19,5,5
BLR1,5,5
BLR22,5,0
BLR23,3,2
BLR5,0,0
BLR8,5,0
BLR9,5,5
BNR15,5,4
BNR16,3,0
BNR17,0,0
BNR18,4,0
BNR19,5,5
BNR20,0,0
BNR21,0,0
BNR22,4,5
BNR23,0,0
BNR24,0,0
BNR25,5,5
BNR26,0,0
BNR27,5,5
BNR28,0,0
BNR29,0,0
BNR30,4,4
BNR31,0,0
BNR33,3,3
BNR46,5,3
BNR55,4,4
BNR63A,0,0
BNR66,5,5
BNR67A,5,0
BNR67B,5,1
BNR67,4,4
BOR10,5,5
BOR11,5,5
BOR126,3,4
BOR128,5,5
BOR12,5,0
BOR131,0,0
BOR132,4,4
BOR137,3,2
BOR13,5,0
BOR142,2,2
BOR146A,0,0
BOR147,3,3
BOR151,4,4
BOR154A,5,4
BOR155,0,0
BOR157,5,0
BOR164,5,3
BOR165,5,5
BOR166,0,0
BOR167,4,0
BOR168,5,0
BOR169,5,0
BOR170,5,0
BOR171,5,3
BOR172,4,0
BOR173,3,0
BOR174,4,0
BOR175,4,0
BOR176,5,3
BOR177,5,1
BOR179,0,0
BOR180,0,0
BOR181,0,0
BOR182,0,0
BOR184,0,0
BOR185,4,0
BOR186,3,2
BOR187,0,0
BOR189,4,0
BOR18,5,2
BOR192,0,0
BOR193,4,0
BOR194,0,0
BOR195,5,0
BOR197,4,0
BOR198,5,0
BOR199,5,0
BOR19,5,5
BOR200,0,0
BOR202,5,0
BOR203,3,3
BOR204,5,1
BOR205,4,3
BOR206,5,5
BOR207,0,0
BOR208,5,5
BOR20,5,5
BOR211,5,5
BOR212A,0,0
BOR213A,3,4
BOR214A,4,5
BOR215A,2,3
BOR21,5,2
BOR221A,0,0
BOR221B,0,0
BOR22,5,2
BOR230,5,4
BOR232,0,0
BOR24,0,0
BOR25,5,0
BOR26,5,5
BOR27,5,2
BOR29,5,2
BOR30,5,2
BOR32,5,0
BOR33,0,0
BOR34,5,0
BOR35,3,3
BOR36,2,5
BOR37,3,1
BOR39,5,3
BOR3,5,5
BOR40,5,2
BOR43,5,0
BOR44,5,0
BOR45,5,0
BOR46,4,3
BOR47,0,0
BOR49,5,0
BOR4,2,3
BOR51,5,0
BOR53,0,0
BOR54,5,5
BOR55A,0,0
BOR55,0,0
BOR56,3,3
BOR57,0,0
BOR58,5,4
BOR59,0,0
BOR5,5,5
BOR61,0,0
BOR62,5,3
BOR64,5,3
BOR67,3,2
BOR68,4,0
BOR69,4,3
BOR6,5,5
BOR70,3,0
BOR71,3,4
BOR72,1,0
BOR73,3,2
BOR74,5,5
BOR75,2,0
BOR76,0,0
BOR77,4,1
BOR78,0,0
BOR79,4,3
BOR7,5,0
BOR80,2,2
BOR81,0,0
BOR82,4,2
BOR83,5,0
BOR84,0,0
BOR85,5,5
BOR86,5,2
BOR87,4,4
BOR88,5,2
BOR89,2,4
BOR8,5,0
BOR90,3,4
BOR91,5,2
BOR92,0,0
BOR93,3,4
BOR94,2,0
BOR95,5,3
BOR96,0,0
BOR97,4,1
BOR98,3,2
BOR99,5,0
BOR9,5,3
BPR128,4,0
BPR130,3,2
BPR134,4,2
BPR137,2,2
BPR140,5,0
BPR142,3,0
BPR145,3,3
BPR161,5,0
BPR162,5,5
BPR163,0,0
BPR164,0,0
BPR165,5,5
BPR166,5,0
BPR167,5,2
BPR168,0,0
BPR169,4,0
BPR170,0,0
BPR171,3,3
BPR173,2,0
BPR174,5,3
BPR175,0,0
BPR176,4,0
BPR177,5,0
BPR178,0,0
BPR180,3,5
BPR182,3,0
BPR183,4,0
BPR184,3,0
BPR185,5,0
BPR187,5,3
BPR188,5,0
BPR189,5,0
BPR192,5,0
BPR193,0,0
BPR194,0,0
BPR195,5,5
BPR196,5,3
BPR197,3,4
BPR198,2,0
BPR203A,4,3
BPR204A,0,0
BPR204B,0,0
BPR204C,0,0
BPR204D,0,0
BPR206,4,5
BPR208A,5,5
BPR208B,5,5
BPR208C,5,5
BPR209,5,2
BPR210A,0,0
BPR34,5,5
BPR51,5,5
BPR58,5,5
BPR66A,0,0
BPR6,5,0
BR13,4,0
BR21,0,0
BR22,3,0
BR23,4,3
BR24,0,0
BR25,4,5
BR26,5,3
BR27,5,5
BR28,0,0
BR29,5,5
BR30,0,0
BR31,4,5
BR32,0,0
BR33,5,5
BR34,3,5
BR35,0,0
BR36,5,3
BR37,4,2
BR38,5,5
BR39,0,0
BR40,0,0
BR50,5,4
BR55,0,0
BR56,0,0
BR57,5,5
BR59,4,3
BR61,3,0
BR64,5,5
BR65A,5,0
BR65B,5,0
BR65C,5,0
BR65,3,0
BR66A,5,0
BR66B,5,0
BR66,0,0
BR67A,5,3
BR67B,5,1
BR68,3,0
BR69A,5,4
BR69B,0,0
BR69,5,5
BR70,0,0
BR71,4,3
BR72,5,5
BR73,3,5
BR74,0,0
BR75,0,0
BR77,0,0
BR79,3,4
BTR106,4,3
BTR10,0,0
BTR114,4,4
BTR117,4,2
BTR11,0,0
BTR121,5,3
BTR124,4,0
BTR125,3,3
BTR127,5,2
BTR12,5,2
BTR132,3,5
BTR13,5,0
BTR142,0,0
BTR143,5,2
BTR144,5,1
BTR145,2,2
BTR146,4,5
BTR14,5,5
BTR152,5,3
BTR153,3,5
BTR154,2,4
BTR155,0,0
BTR156,2,3
BTR157,5,5
BTR158,4,0
BTR15,3,5
BTR160,2,1
BTR161,5,5
BTR162,5,4
BTR163,2,0
BTR164,5,0
BTR165,3,5
BTR167,0,0
BTR168,0,0
BTR169,2,3
BTR16,5,3
BTR170,0,0
BTR171,5,5
BTR175,5,5
BTR176,4,1
BTR17,0,0
BTR180,3,3
BTR181,5,4
BTR184,4,2
BTR188,5,4
BTR18,3,0
BTR190,5,5
BTR193A,5,4
BTR193B,0,0
BTR193C,5,4
BTR193D,5,5
BTR193E,5,1
BTR193F,5,0
BTR194A,5,1
BTR194B,5,4
BTR194C,5,0
BTR194D,5,0
BTR194E,0,0
BTR194F,0,0
BTR195A,5,3
BTR195B,0,0
BTR195C,0,0
BTR196,5,0
BTR197A,5,5
BTR197B,4,0
BTR197C,5,5
BTR198A,3,0
BTR198B,4,0
BTR198,3,5
BTR199A,5,2
BTR199B,3,5
BTR199C,0,0
BTR199D,4,5
BTR199E,5,3
BTR199F,5,2
BTR19,5,3
BTR1,5,5
BTR200A,5,5
BTR200B,1,5
BTR200C,4,0
BTR200,2,2
BTR201A,5,0
BTR201B,5,0
BTR201C,5,0
BTR201D,5,0
BTR201,5,0
BTR202A,2,5
BTR202B,5,0
BTR203A,5,5
BTR203B,5,0
BTR203C,4,0
BTR204A,5,5
BTR204B,5,5
BTR204C,5,5
BTR205A,5,5
BTR205B,4,0
BTR205C,5,0
BTR206A,5,0
BTR206B,5,1
BTR206C,5,0
BTR207A,5,4
BTR207B,4,5
BTR207,0,0
BTR208A,5,1
BTR208B,5,1
BTR208C,3,0
BTR209,5,5
BTR20,0,0
BTR210,4,5
BTR211,4,3
BTR213,4,3
BTR214,3,4
BTR215,5,2
BTR216,4,3
BTR217,3,5
BTR218,4,0
BTR219,0,0
BTR21,5,0
BTR220,5,5
BTR221,2,4
BTR223,5,3
BTR224,0,0
BTR226,3,0
BTR228,4,2
BTR229,5,2
BTR22,5,3
BTR230,3,0
BTR231,5,3
BTR233,5,0
BTR234,0,0
BTR236,0,0
BTR237,5,3
BTR239,5,3
BTR23,3,0
BTR240,5,5
BTR241,1,0
BTR242,5,5
BTR243,2,0
BTR244,5,5
BTR245,4,3
BTR247,5,5
BTR248,0,0
BTR249,5,5
BTR24,5,3
BTR250,5,3
BTR251,4,3
BTR253,5,5
BTR254,2,5
BTR255,5,1
BTR256,5,3
BTR257,0,0
BTR259,5,5
BTR25,5,5
BTR262,3,5
BTR265,5,5
BTR266,5,5
BTR267,0,0
BTR268,5,4
BTR26,2,3
BTR270,5,5
BTR27,5,2
BTR285,5,5
BTR289A,4,5
BTR289B,5,5
BTR28,5,5
BTR298A,3,5
BTR298B,5,5
BTR29,5,0
BTR2,5,0
BTR302,5,5
BTR30,0,0
BTR310A,5,0
BTR310,5,5
BTR31,5,2
BTR32,5,4
BTR33,4,3
BTR34,0,0
BTR35,0,0
BTR36,1,1
BTR37,5,4
BTR38,4,1
BTR39,0,0
BTR3,5,0
BTR40,4,1
BTR41,3,3
BTR42,0,0
BTR43,1,1
BTR44,5,5
BTR45,0,0
BTR46,2,2
BTR47,1,1
BTR48,0,0
BTR49,4,3
BTR4,0,0
BTR50,4,5
BTR51,5,5
BTR52,5,5
BTR54,4,0
BTR55,5,5
BTR56,4,4
BTR57,0,0
BTR58,4,4
BTR59,3,3
BTR5,5,0
BTR60,3,3
BTR61,1,1
BTR62,4,4
BTR63,5,4
BTR64,3,5
BTR66,0,0
BTR68,5,5
BTR69,3,5
BTR6,5,2
BTR7,5,5
BTR8,5,5
BTR9,5,5
BUR102,5,4
BUR103,2,0
BUR105,0,0
BUR108,5,0
BUR110,0,0
BUR111,4,2
BUR112,5,4
BUR113,4,3
BUR114,5,5
BUR116,5,5
BUR11,0,5
BUR121,4,3
BUR122,0,0
BUR125,4,2
BUR128,0,0
BUR12,5,5
BUR135,0,0
BUR142,5,5
BUR143,0,0
BUR144A,0,0
BUR144B,0,0
BUR144C,0,0
BUR144D,5,4
BUR144E,4,0
BUR144F,5,0
BUR144G,0,0
BUR144H,2,0
BUR144I,0,0
BUR144J,5,0
BUR144K,5,0
BUR144L,5,0
BUR145A,5,3
BUR145B,5,1
BUR145C,5,1
BUR145D,5,0
BUR146A,3,1
BUR146B,0,0
BUR146C,0,0
BUR146D,0,0
BUR146,3,0
BUR147B,4,2
BUR147E,3,3
BUR149A,5,5
BUR149B,5,5
BUR149C,5,5
BUR149D,0,0
BUR149E,3,5
BUR149F,0,0
BUR149,4,4
BUR150A,5,0
BUR150D,5,0
BUR151A,5,1
BUR151B,5,0
BUR151,0,0
BUR152B,4,0
BUR152,4,5
BUR153,5,5
BUR15,0,0
BUR162,3,5
BUR163,5,5
BUR164,3,2
BUR168,5,5
BUR16,5,3
BUR17,0,0
BUR183,4,4
BUR19,3,2
BUR20,0,0
BUR210A,5,5
BUR210B,5,0
BUR210C,5,5
BUR210D,5,0
BUR213C,3,4
BUR219,5,5
BUR22,0,0
BUR23,0,5
BUR24,5,0
BUR25,0,0
BUR28,0,2
BUR29,3,3
BUR3,3,2
BUR5,3,3
CAR10,5,5
CAR114,3,2
CAR116,0,0
CAR117,3,2
CAR119,4,4
CAR11,0,0
CAR120,4,4
CAR123,4,5
CAR127,0,0
CAR136A,0,0
CAR136B,0,0
CAR136C,0,0
CAR136D,0,0
CAR136,0,0
CAR137,3,5
CAR139A,0,0
CAR139B,0,0
CAR139C,0,0
CAR139,0,0
CAR13,5,0
CAR140A,4,0
CAR140B,4,0
CAR140,2,5
CAR141,0,0
CAR142,5,5
CAR143,0,0
CAR144,0,0
CAR145,0,0
CAR146,0,0
CAR148,0,0
CAR149,0,0
CAR150,2,5
CAR151,5,4
CAR154,0,0
CAR155,0,0
CAR156,2,5
CAR158,2,4
CAR159,4,5
CAR15,5,5
CAR160,5,5
CAR161,0,0
CAR162,5,5
CAR163,0,0
CAR164,2,0
CAR165,5,5
CAR166,4,5
CAR167,5,5
CAR168,5,5
CAR169,3,4
CAR16,5,2
CAR171,0,0
CAR172,5,2
CAR173,3,4
CAR174,4,5
CAR175,5,5
CAR177,5,3
CAR178,4,5
CAR179,0,0
CAR17,5,5
CAR180,0,0
